# data/inputs-5K.txt async_reset_tree --ballast=0
#
# schedule(ns) total(ns)
4375	1463083
1416	183208
3958	782792
3833	612708
1125	1844333
1459	150917
1375	1685958
2084	1100459
1792	753625
1791	1258083
1166	538208
1125	1671208
1333	29792
2083	361625
1291	1745958
1291	1540208
1500	208667
1959	1795500
1208	1835875
1250	496750
1875	970041
1125	1558792
3834	1128084
1333	367708
1167	469167
1166	586083
1959	1535250
1333	833416
3708	1532458
4209	1453625
1292	286292
1166	902333
1166	1057958
1208	1293917
1167	1853292
1125	1198166
2042	811167
1125	283250
1833	1092917
1166	1189375
2000	1101500
1125	539542
2000	753000
1083	337166
1917	1743458
1083	1508791
1125	1212833
1125	991875
1958	1750958
1917	1058584
1708	1471333
1125	1796875
1084	1822417
2250	1566500
1375	304084
2584	1517209
1375	146750
1250	1766125
1500	22417
1541	894625
2000	1885625
5083	588333
4209	24584
1416	1843291
1792	216292
1375	173333
1208	1111833
1209	480375
1375	460416
1334	190000
1083	536000
1167	1647208
1208	1018166
1584	129042
1333	1391750
1459	270584
1291	667458
1250	1847542
1583	77417
1166	759500
1208	1001750
1208	344666
1208	1012125
1125	1810166
1791	1746875
1208	1670833
1125	1286125
2209	988417
2250	946792
1542	804209
1250	1382042
4208	1048000
1291	352125
1459	1361792
1833	161333
1500	1445042
1250	144625
1125	1091250
1125	1451834
1417	70167
1208	1748583
1125	1151041
1166	1209666
1458	134917
1708	1542500
1083	1587250
1083	1229166
1125	372375
1125	591208
1667	778792
1083	1113833
1209	148750
1125	1209584
1667	1583709
1750	1794958
1750	1344541
1125	1153917
1666	561666
1667	454667
4000	1127750
3542	1009500
1958	250708
6375	62333
2125	915333
2833	646583
1333	1544708
1250	803417
1208	1575541
1167	446583
1833	862375
3917	1817000
1916	747041
1583	276250
1084	741334
1958	565417
2709	1301084
1208	1099958
1834	1131250
1833	1607708
2167	958625
1167	523750
2000	1689167
1166	1729833
1250	157125
1417	157750
1834	1795334
1125	483791
1125	829666
4250	872000
1167	1179250
4042	1633542
1458	197625
1292	382875
1416	407125
1500	1334458
1625	461625
1584	949917
1458	332125
1500	116709
2042	1901458
1792	499167
1916	1041625
1750	948084
1375	356166
1708	1361500
1542	1056458
1208	1009541
3042	1604917
1334	797584
1084	627250
1375	824500
2000	564792
1333	1391458
2458	1668541
1417	1806334
1708	1735416
1083	508583
1083	713125
1083	1704125
1167	1115292
1375	1143250
4875	98166
2000	1703541
1666	587625
1208	1709541
1125	1643375
1167	885833
1666	909708
1458	1310208
1084	1397084
1125	564875
1208	164333
1375	132333
1542	1614500
1250	674458
4042	422583
1208	1743667
1167	529459
1166	615000
1834	1821542
1208	125875
1125	695958
1084	1615625
1125	1701166
1125	546250
1125	755209
1125	339875
1083	1096750
1083	1134666
1125	603833
1167	478084
1083	935166
1667	1312125
2334	1157792
1292	1519292
1250	1718458
1208	1725416
1584	1245584
4167	80458
2000	1438125
1250	1442458
2500	1524750
1167	1868458
1209	993459
1875	1493958
1250	500625
1458	69625
1833	1918083
1250	1653000
2208	1235291
1208	1019541
1166	1182250
1709	1497167
1167	833542
1125	290792
1125	1693083
2000	1487833
1291	1662750
1125	825916
1167	1330000
1083	415500
1083	1342708
2709	745667
4042	1416584
1209	244417
1542	52500
2583	209958
3958	1745083
1167	1235375
1166	1086208
1125	1006250
1875	821500
1208	1877291
1292	248209
1167	1111500
1417	199417
1959	1691292
3917	1772084
1583	1659583
1375	142916
1625	863708
1875	1694292
1250	400167
1166	1129291
1167	1615667
1958	512792
1292	512667
