# data/inputs-5K-1-value.txt isolated_hop_reset_array --ballast=5
#
# schedule(ns) total(ns)
220208	1009500
415375	1879291
159625	776709
317666	1504333
115542	572792
80459	428459
391209	1851875
6250	52875
82375	449500
267042	1291959
160083	809875
156584	755084
21625	126667
114125	609792
1791	16416
306250	1325959
195791	934958
67583	358042
400875	1824708
350292	1581834
123209	594542
302375	1411167
237083	1125250
79958	410083
87125	450541
369084	1663584
384750	1766333
238209	1164459
109292	536042
270708	1185833
327417	1545333
94375	503875
120583	585958
10750	51583
71292	368209
291041	1442291
324916	1587958
118208	635458
127917	611375
19125	116875
57500	335458
114667	594834
221208	1071416
271750	1387250
140416	638916
29042	161458
333625	1494584
204791	949500
145125	730125
259416	1314916
415917	1897167
328250	1501208
192000	905250
302375	1334000
276375	1255958
122417	607792
375292	1585750
129459	648167
343667	1599042
28333	197958
283916	1427708
132458	666083
650084	1583042
185708	651791
325125	1464125
26125	139958
394792	1718125
121209	626000
102209	494292
17791	109208
367125	1651750
141000	669541
54000	302000
155042	738500
44916	254125
39917	245375
164375	793667
315000	1405292
17834	117125
229125	1166333
264250	1238709
189792	865417
3166	17208
40167	245792
201333	944792
125667	620875
122458	599583
289833	1294875
273834	1250959
306000	1419375
108750	576125
125125	671292
2042	25833
93083	498416
183833	926167
385750	1741834
19166	119916
394125	1789500
250667	1238459
396250	1816541
32709	210459
173584	860125
354792	1628375
310792	1442375
30000	197458
208084	958250
124958	629750
40000	242167
250084	1155375
33500	228500
217667	1025750
125625	626792
268375	1235833
369375	1685833
291666	1354750
59000	331209
296625	1384500
344542	1745042
189333	964125
23292	159584
200709	964250
328292	1527500
25917	125000
155500	765208
322834	1496917
231625	1057292
66917	356292
332042	1573209
256375	1195792
116500	575208
339875	1559000
290916	1337250
84875	425541
26750	162000
158834	767209
263917	1247875
22583	152292
339167	1582208
324583	1480958
26792	172500
299084	1366334
126417	631834
188042	905917
8750	61167
270583	1293666
304250	1517750
215375	1098459
143541	717375
87875	439083
295584	1382334
4375	24292
392709	1827209
432333	1881833
15917	100583
248166	1147708
163334	781542
223459	1051584
113500	593250
206000	975292
142500	683500
287166	1301375
233792	1092584
319084	1468167
158250	780708
75250	403541
213167	985875
222334	1050167
363250	1640958
335333	1576083
108291	590625
55917	316167
225250	1150625
39750	262667
32208	208500
377750	1714125
241208	1127000
275500	1277791
284167	1350542
219875	1041208
221333	1043667
208667	984833
213916	1008916
412583	1832708
138791	667458
29458	194833
